Title,Type,Season,Total Episodes,Watched Episodes,Status,Score,Start Date,Finish Date,Times Watched,Rewatching,Priority,Tags,Comments
"""Omae Gotoki ga Maou ni Kateru to Omouna"" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai",TV,,12,3,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
100-man no Inochi no Ue ni Ore wa Tatteiru,TV,,12,7,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
29-sai Dokushin Chuuken Boukensha no Nichijou,TV,,12,3,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu.",TV,,24,8,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
AI no Idenshi,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Akagami no Shirayuki-hime,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Akujiki Reijou to Kyouketsu Koushaku,TV,,12,12,Completed,5,0000-00-00,2025-12-18,0,0,LOW,,
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Akuyaku Reijou nanode Last Boss wo Kattemimashita,TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Akuyaku Reijou Tensei Ojisan,TV,,12,5,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Ansatsu Kyoushitsu,TV,,22,22,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,TV,,12,12,Completed,6,0000-00-00,2025-12-22,0,0,LOW,,
Ao no Exorcist,TV,,25,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Apocalypse Hotel,TV,,12,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Arifureta Shokugyou de Sekai Saikyou,TV,,13,13,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Arifureta Shokugyou de Sekai Saikyou 2nd Season,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Arifureta Shokugyou de Sekai Saikyou Season 3,TV,,16,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Around 40 Otoko no Isekai Tsuuhan,TV,,13,13,Completed,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Ars no Kyojuu,TV,,12,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Ashita no Joe,TV,,79,10,Dropped,6,0000-00-00,0000-00-00,0,0,LOW,,
Ashita no Joe 2,TV,,47,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Übel Blatt,TV,,12,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Back Street Girls: Gokudolls,TV,,10,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Bakuman.,TV,,25,25,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Bakuman. 2nd Season,TV,,25,25,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Bakuman. 3rd Season,TV,,25,25,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Basilisk: Kouga Ninpou Chou,TV,,24,24,Completed,4,0000-00-00,0000-00-00,0,0,LOW,,
Beelzebub,TV,,60,45,Dropped,6,0000-00-00,0000-00-00,0,0,LOW,,
"Benriya Saitou-san, Isekai ni Iku",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
